ID,Title,Author,Year,Primary_Region,Tier,Reason_For_Honorable_Mention
NEW1,Tell My Horse,Zora Neale Hurston,1938,Caribbean,2,BIPOC woman author - Haiti/Jamaica voodoo and folklore (SUGGESTED TO FILL CARIBBEAN GAP)
NEW2,Catfish and Mandala,Andrew X. Pham,1999,Asia / SE Asia,2,BIPOC Vietnamese-American author - cycling Vietnam (SUGGESTED TO FILL SE ASIA & BIPOC GAP)
NEW3,A Dragon Apparent,Norman Lewis,1951,Asia / SE Asia,2,Classic Vietnam/Cambodia/Laos before wars (SUGGESTED TO FILL SE ASIA GAP)
NEW4,Running the Amazon,Joe Kane,1989,South America,2,First complete Amazon navigation - adventure classic (SUGGESTED)
NEW6,Stranger to History,Aatish Taseer,2009,Multiple / Muslim World,2,BIPOC Indian-Pakistani author - son's search for father (SUGGESTED TO BOOST BIPOC)
NEW7,A Traveller on Horseback,Christina Dodwell,1987,Middle East,2,Woman author - solo horseback Turkey/Iran adventure (SUGGESTED TO BOOST WOMEN)
NEW8,The Outrun,Amy Liptrot,2016,Europe / Scotland,2,Contemporary woman author - Orkney Islands recovery memoir (SUGGESTED POST-2010)
NEW9,H is for Hawk,Helen Macdonald,2014,Europe / UK,2,Contemporary woman author - nature writing with travel elements (SUGGESTED POST-2010)
NEW10,The Colossus of Maroussi,Henry Miller,1941,Europe / Greece,2,Classic Greece travel - Miller's masterpiece (SUGGESTED CLASSIC GEM)
55,Stranger in the Forest,Eric Hansen,1988,Asia / Borneo,2,Second Hansen book - one book per author rule (keeping Motoring with Mohammed for Yemen)
100,Tiger of the Snows,Tenzing Norgay,1955,Asia / Himalayas,3,BIPOC Sherpa Everest - excellent but overshadowed by Hillary and other Everest books
60,Bitter Lemons of Cyprus,Lawrence Durrell,1957,Europe / Cyprus,3,Evocative descriptions
149,In Morocco,Edith Wharton,1920,Africa / Morocco,3,Evocative but dated writing
144,This Divided Island,Samanth Subramanian,2014,Asia / Sri Lanka,3,Journalistic travels through Sri Lanka
72,The Journals of Captain Cook,James Cook,1768,Pacific,2,His Log
137,Flame Trees of Thika,Elspeth Huxley,1959,Africa / Kenya,2,Memoir of colonial Kenya
130,The Zanzibar Chest,Aidan Hartley,2003,Africa,2,War and reporting
116,Out of Africa,Isak Dinesen,1937,Africa / Kenya,1,Memoir of Plantation life
91,Around the World on a Bicycle,Thomas Stevens,1887,Multiple,2,An early bicycling feat
90,The Voyage of the Beagle,Charles Darwin,1839,South America,2,Scientific expedition
24,Kon-Tiki,Thor Heyerdahl,1950,Pacific Ocean,1,"The journey is an experiment, not an encounter"
88,The Solace of Open Spaces,Gretel Ehrlich,1985,North America / Wyoming,2,"Place-based memoir, not travel"
65,Paris to the Moon,Adam Gopnik,2000,Europe / France,2,"A sense of place, not a travel book"
62,Lost in Shangri-La,Mitchell Zuckoff,2011,Oceania / New Guinea,2,Performative
54,The Geography of Bliss,Eric Weiner,2008,Multiple,2,"concept first, travel second"
50,A Cook's Tour,Anthony Bourdain,2001,Multiple,1,"Food-first, show-driven travel"
42,Brazilian Adventure,Peter Fleming,1933,South America,2,Already included News from Tartary
43,The Lost City of Z,David Grann,2009,South America / Amazon,1,Narrative history and reconstruction
37,"Wind, Sand and Stars",Antoine de Saint-Exupéry,1939,Africa / Sahara,2,Travel is a frame for ideas and reflection
32,Desert Solitaire,Edward Abbey,1968,North America / Utah,2,"Place-based residence memoir, not travel"
29,The Art of Travel,Alain de Botton,2002,Multiple,2,collection of essays
25,Under the Tuscan Sun,Frances Mayes,1996,Europe / Italy,1,"popular, but light. More memoir than travel book"
18,The Innocents Abroad,Mark Twain,1869,Europe / Holy Land,2,Satire driven travel of the period
172,A Lady's Life in the Rocky Mountains,Isabella Bird,1879,North America / Colorado,2,Have already included Bird's Unbeaten Tracks
