ID,Status,Title,Author,author_gender,author_indigenous,author_person_of_color,author_identity_notes,Year,Primary_Region,travel_continents,Tier,Source,Notes
95,HonorableMention,The Gentleman in the Parlour,W. Somerset Maugham,unknown,unknown,unknown,,1930,Asia,Asia,3,gemini,SE Asia literary
96,Completed,Travels with a Donkey in the Cévennes,Robert Louis Stevenson,unknown,unknown,unknown,,1879,Europe / France,Europe,2,gemini,Classic walking
97,HonorableMention,The Journal of a Tour to the Hebrides,James Boswell,unknown,unknown,unknown,,1785,Europe / Scotland,Europe,3,gemini,18th C Scotland
98,Completed,A Small Place,Jamaica Kincaid,unknown,unknown,unknown,,1988,Caribbean / Antigua,,3,gemini,Anti-tourism essay
99,Completed,In an Antique Land,Amitav Ghosh,unknown,unknown,unknown,,1992,Africa / Egypt,Africa,3,gemini,Historical layered
100,HonorableMention,Tiger of the Snows,Tenzing Norgay,unknown,unknown,unknown,,1955,Asia / Himalayas,Asia,3,gemini,Everest climb
101,HonorableMention,Slowly Down the Ganges,Eric Newby,unknown,unknown,unknown,,1966,Asia / India,Asia,2,user,River journey
102,HonorableMention,Winter in Arabia,Freya Stark,unknown,unknown,unknown,,1940,Middle East,Asia,3,chatgpt,Classic exploration
103,HonorableMention,Dark Star Safari,Paul Theroux,unknown,unknown,unknown,,2002,Africa,Africa,2,chatgpt,Cairo to Cape Town
104,HonorableMention,Notes from a Small Island,Bill Bryson,unknown,unknown,unknown,,1995,Europe / UK,Europe,2,chatgpt,Britain humor
105,HonorableMention,Neither Here nor There,Bill Bryson,unknown,unknown,unknown,,1991,Europe,Europe,2,chatgpt,Europe backpacking
106,HonorableMention,Into Thin Air,Jon Krakauer,unknown,unknown,unknown,,1997,Asia / Himalayas,Asia,1,chatgpt+user,Everest disaster
107,HonorableMention,The Old Patagonian Express,Paul Theroux,unknown,unknown,unknown,,1979,South America,South America,2,chatgpt,Train to Patagonia
108,HonorableMention,Between the Woods and the Water,Patrick Leigh Fermor,unknown,unknown,unknown,,1986,Europe,Europe,2,chatgpt,Fermor sequel
109,HonorableMention,The Broken Road,Patrick Leigh Fermor,unknown,unknown,unknown,,2013,Europe / Asia,Europe|Asia,3,chatgpt,Posthumous Fermor
110,HonorableMention,Imperium,Ryszard Kapuściński,unknown,unknown,unknown,,1993,Europe / Soviet Union,Europe,2,chatgpt,Soviet collapse
111,HonorableMention,The Songlines,Bruce Chatwin,unknown,unknown,unknown,,1987,Oceania / Australia,Oceania,2,chatgpt+user,Aboriginal philosophy
112,HonorableMention,Nine Lives,William Dalrymple,unknown,unknown,unknown,,2009,Asia / India,Asia,2,chatgpt,Sacred India
113,HonorableMention,In Xanadu,William Dalrymple,unknown,unknown,unknown,,1989,Asia,Asia,2,chatgpt,Kubla Khan quest
114,HonorableMention,The Happy Isles of Oceania,Paul Theroux,unknown,unknown,unknown,,1992,Oceania,Oceania,2,chatgpt,Pacific kayaking
115,HonorableMention,Oracle Bones,Peter Hessler,unknown,unknown,unknown,,2006,Asia / China,Asia,2,chatgpt,China archaeology
117,Completed,A House in Bali,Colin McPhee,unknown,unknown,unknown,,1946,Asia / Indonesia,Asia,3,chatgpt,Musical memoir
118,HonorableMention,No Mercy,Redmond O'Hanlon,unknown,unknown,unknown,,1997,Africa / Congo,Africa,2,chatgpt,Jungle adventure
119,Cut,Pilgrim at Tinker Creek,Annie Dillard,unknown,unknown,unknown,,1974,North America,North America,2,chatgpt,Nature meditation
120,HonorableMention,A Turn in the South,V.S. Naipaul,unknown,unknown,unknown,,1989,North America,North America,2,chatgpt,American South
121,HonorableMention,Among the Believers,V.S. Naipaul,unknown,unknown,unknown,,1981,Multiple,,3,chatgpt,Islamic world
122,HonorableMention,The Lost Continent,Bill Bryson,unknown,unknown,unknown,,1989,North America,North America,2,chatgpt,Small-town America
123,HonorableMention,In a Sunburned Country,Bill Bryson,unknown,unknown,unknown,,2000,Oceania / Australia,Oceania,2,chatgpt,Australia humor
124,Cut,A Fortunate Traveller,Eric Newby,unknown,unknown,unknown,,1994,Multiple,,3,chatgpt,Anthology of travels
125,HonorableMention,A Writer's World,Jan Morris,unknown,unknown,unknown,,2003,Multiple,,2,chatgpt,Travel essays
126,HonorableMention,Trieste and the Meaning of Nowhere,Jan Morris,unknown,unknown,unknown,,2001,Europe / Italy,Europe,2,chatgpt,City meditation
127,Completed,A Pattern of Islands,Arthur Grimble,unknown,unknown,unknown,,1952,Oceania,Oceania,3,chatgpt,Colonial Pacific
128,HonorableMention,The Japanese Journey,Nicolas Bouvier,unknown,unknown,unknown,,1989,Asia / Japan,Asia,3,chatgpt,Japan travel
129,HonorableMention,Slow Boats to China,Gavin Young,unknown,unknown,unknown,,1983,Asia,Asia,2,chatgpt,Sea voyage
131,HonorableMention,At the Tomb of the Inflatable Pig,Matthew Parris,unknown,unknown,unknown,,2003,South America / Paraguay,South America,2,user,Offbeat Paraguay
132,Cut,India,Geoffrey Moorehead,unknown,unknown,unknown,,,,,Asia / India,3,user
133,HonorableMention,Travels with Herodotus,Ryszard Kapuściński,unknown,unknown,unknown,,2007,Multiple,,2,user,Philosophical reportage
134,HonorableMention,Journey without Maps,Graham Greene,unknown,unknown,unknown,,1936,Africa / Liberia,Africa,3,user,West Africa trek
135,HonorableMention,Apples are from Kazakhstan,Christopher Robbins,unknown,unknown,unknown,,2008,Asia / Kazakhstan,Asia,3,user,Central Asia obscure
136,HonorableMention,Hearing Birds Fly,Louisa Waugh,unknown,unknown,unknown,,2003,Asia / Mongolia,Asia,3,user,Mongolia immersion
138,HonorableMention,Somebody's Heart is Burning,Tanya Shaffer,unknown,unknown,unknown,,2003,Africa,Africa,2,user,West Africa journey
139,HonorableMention,The Ponds of Kalambayi,Mike Tidwell,unknown,unknown,unknown,,1990,Africa,Africa,3,user,Peace Corps Congo
140,HonorableMention,Eiger Dreams,Jon Krakauer,unknown,unknown,unknown,,1990,Multiple,,2,user,Mountaineering essays
141,HonorableMention,The World Is a Carpet,Anna Badkhen,unknown,unknown,unknown,,2013,Asia / Afghanistan,Asia,3,user,War zone immersion
142,Completed,Maximum City,Suketu Mehta,unknown,unknown,unknown,,2004,Asia / India,Asia,2,chatgpt+user,Mumbai narrative
143,HonorableMention,City of Djinns,William Dalrymple,unknown,unknown,unknown,,1993,Asia / India,Asia,2,user,Delhi historical
145,Completed,From Heaven Lake,Vikram Seth,unknown,unknown,unknown,,1983,Asia / China,Asia,2,chatgpt+user,Hitchhiking China
146,HonorableMention,Endurance,Alfred Lansing,unknown,unknown,unknown,,1959,Antarctica,Antarctica,1,user,Shackleton expedition (3rd person)
147,Completed,Naples '44,Norman Lewis,unknown,unknown,unknown,,1978,Europe / Italy,Europe,2,user,WWII Naples
150,Completed,Walking with Abel: Journeys with the Nomads of the African Savannah,Anna Badkhen,unknown,unknown,unknown,,2015,Africa / Mali,Africa,3,user,Fulani herders migration
151,Cut,India: Travel Impressions,Enrico Bertarelli,unknown,unknown,unknown,,1909,Asia / India,Asia,4,user,Early Italian travelogue (orig: Impressioni di viaggio)
152,Completed,The Cruelest Journey: 600 Miles to Timbuktu,Kira Salak,unknown,unknown,unknown,,2004,Africa / Mali,Africa,2,new-addition,Woman author - solo kayaking Niger River to Timbuktu
153,Completed,Turn Right at Machu Picchu: Rediscovering the Lost City One Step at a Time,Mark Adams,unknown,unknown,unknown,,2011,South America / Peru,South America,2,new-addition,Contemporary bestseller - historical detective work with wry humor
154,Completed,Motoring with Mohammed: Journeys to Yemen and the Red Sea,Eric Hansen,unknown,unknown,unknown,,1991,Middle East / Yemen,Asia,2,new-addition,Yemen and Red Sea journeys - Hansen's second masterpiece
155,Completed,The Roads to Sata,Alan Booth,male,no,no,,1985,Asia / Japan,Asia,2,user,Walking the length of Japan - Cape Soya to Cape Sata
156,Completed,News from Tartary,Peter Fleming,male,no,no,,1935,Asia / Central Asia,Asia,2,user,Peking to Kashmir across Xinjiang - Silk Road adventure with Ella Maillart
157,Completed,The Great Game,Peter Hopkirk,male,no,no,,1990,Asia / Central Asia,Asia,2,user,Historical narrative of British-Russian rivalry in Central Asia
158,Completed,Passage to Juneau,Jonathan Raban,male,no,no,,1999,North America / Pacific Northwest,North America,2,user,Solo sailing Inside Passage - maritime literature with grief and indigenous history
159,Completed,Travels with a Tangerine,Tim Mackintosh-Smith,male,no,no,,2001,North Africa / Middle East,Africa|Asia,2,user,Following Ibn Battutah from Morocco to Turkey - historical footsteps with Arabic scholarship
160,Completed,Roads to Santiago,Cees Nooteboom,male,no,no,,1992,Europe / Spain,Europe,3,user,Wandering through Spain hunting Romanesque churches and Zurbarán paintings - literary detours
161,Completed,Border,Kapka Kassabova,female,no,no,,2017,Europe / Balkans,Europe,3,user,Bulgaria-Turkey-Greece borderlands - Cold War ghosts and refugee stories
162,Completed,Dark Continent My Black Arse,Sihle Khumalo,male,no,yes,,2007,Africa,Africa,3,user,Cape Town to Cairo by public transport - African perspective dismantling stereotypes
163,Completed,My Traitor's Heart,Rian Malan,male,no,no,,1990,Africa / South Africa,Africa,3,user,Afrikaner journalist confronting apartheid violence and family legacy
164,Completed,One Day I Will Write About This Place,Binyavanga Wainaina,male,no,yes,,2011,Africa / Kenya,Africa,3,user,Kenyan coming-of-age memoir - sensory and linguistic exploration
165,Completed,When a Crocodile Eats the Sun,Peter Godwin,male,no,no,,2006,Africa / Zimbabwe,Africa,2,user,Zimbabwe's collapse under Mugabe - family memoir and political witness
166,Completed,Indonesia Etc,Elizabeth Pisani,female,no,no,,2014,Asia / Indonesia,Asia,2,user,Exploring Indonesian archipelago - epidemiologist's witty political sociology
167,HonorableMention,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,male,no,no,,1974,North America,North America,2,user,Philosophical motorcycle journey - inquiry into quality and values
168,Completed,The Turkish Embassy Letters,Lady Mary Wortley Montagu,female,no,no,,1763,Asia / Ottoman Empire,Asia,3,user,18th-century letters from Constantinople - pioneering female travel writer introducing smallpox inoculation
169,Completed,Catfish and Mandala,Andrew X. Pham,male,no,yes,,1999,Asia / Vietnam,Asia,2,user,Vietnamese-American bicycle journey through Vietnam - refugee identity and family trauma
170,Completed,Out of Sheer Rage,Geoff Dyer,male,no,no,,1997,Multiple,Europe,3,user,Anti-travel book wrestling with D.H. Lawrence - meta-narrative about failing to write
171,Completed,The First Voyage Around the World,Antonio Pigafetta,male,no,no,,1525,Global,Global,2,user,Magellan expedition chronicle - first circumnavigation eyewitness account
172,Completed,The Great Hedge of India,Roy Moxham,male,no,no,,2001,Asia / India,Asia,3,user,Historical detective work tracing Britain's massive customs barrier across India
173,Completed,Chasing the Monsoon,Alexander Frater,male,no,no,,1990,Asia / India,Asia,2,user,Following the Indian monsoon from Kerala to Cherrapunji - meteorological journey with wit and curiosity
174,Completed,The Blue Nile,Alan Moorehead,male,no,no,,1962,Africa,Africa,2,user,Historical narrative of exploration and empire along the Blue Nile - from Lake Tana to Khartoum
175,Completed,A Journey to the Western Islands of Scotland,Samuel Johnson,male,no,no,,1775,Europe / Scotland,Europe,3,user,Dr. Johnson's philosophical exploration of Highland Scotland and disappearing clan culture
176,Completed,African Calliope,Edward Hoagland,male,no,no,,1979,Africa / Sudan,Africa,3,user,Essayist's journey through 1970s Sudan - wildlife and civil war on the verge of fracture
177,Completed,Travels in Arabia Deserta,Charles Montagu Doughty,male,no,no,,1888,Middle East / Arabia,Asia,3,user,Victorian epic of two years wandering with Bedouin tribes - archaic prose and unparalleled immersion
178,Completed,The Windward Road,Archie Carr,male,no,no,,1956,Caribbean,North America,2,user,Naturalist's quest to save sea turtles - Caribbean wanderings with scientific wonder
179,Completed,The Path to Rome,Hilaire Belloc,male,no,no,,1902,Europe,Europe,2,user,Walking pilgrimage from France to Rome - whimsical illustrations and Catholic devotion
180,Cut,Cities and Stones,Robert Byron,male,no,no,,1933,Europe / Greece,Europe,3,user,Byzantine architecture and Greek monasteries - early Byron before Road to Oxiana
181,Cut,The Great American Bus Ride,Irma Kurtz,female,no,no,,1993,North America,North America,2,user,Solo woman's Greyhound journey across America - sharp observations and working-class encounters
182,Completed,First Overland: London-Singapore by Land Rover,Tim Slessor,male,no,no,,2006,Multiple,Asia,2,user,1955 expedition across Asia in two Land Rovers - pioneering overland adventure through Burma Road
183,Completed,Incidents of Travel in Yucatán,John Lloyd Stephens,male,no,no,,1843,Central America / Mexico,North America,2,user,American explorer discovering Maya civilization - archaeological adventure with Catherwood's illustrations
184,Completed,An Unexpected Light: Travels in Afghanistan,Jason Elliott,male,no,no,,1999,Asia / Afghanistan,Asia,3,user,Literary journey through 1980s-90s Afghanistan - Persian poetry and war-torn beauty
185,Completed,Libyan Sands: Travel in a Dead World,Ralph Bagnold,male,no,no,,1935,Africa / Libya,Africa,3,user,Engineer's pioneering Model T expeditions into Sahara - physics of sand and desert exploration
186,Completed,Maiden Voyage,Tania Aebi,female,no,no,,1989,Global / Oceans,Global,2,user,18-year-old's solo circumnavigation by sailboat - youngest woman to sail around the world
187,Completed,The Great American Bus Ride,Bill Adler,male,no,no,,1986,North America,North America,2,user,Cross-country Greyhound journey - social commentary on 1980s America
188,Completed,Cities and Stones: A Traveller's Yugoslavia,Brian Aldiss,male,no,no,,1966,Europe / Yugoslavia,Europe,3,user,Science fiction writer's poetic journey through 1960s Communist Yugoslavia
189,Completed,The Voyage of the Beagle,Charles Darwin,male,no,no,,1839,South America / Global,South America|Global,2,user,Scientific travel memoir - five-year HMS Beagle voyage discovering evolution's foundations
190,Completed,Sailing Alone Around the World,Joshua Slocum,male,no,no,,1900,Global / Oceans,Global,2,user,First solo circumnavigation by sailboat - 46000 miles in a rebuilt oyster sloop
191,Completed,Personal Narrative,Alexander von Humboldt,male,no,no,,1814,South America,South America,3,user,Prussian polymath's scientific expedition - Amazon and Orinoco with 42 instruments
192,Completed,A Ride to Khiva,Fred Burnaby,male,no,no,,1876,Asia / Central Asia,Asia,3,user,Victorian cavalry officer's winter ride to forbidden Uzbek khanate - Great Game adventure
